movies,similar
Happy Gilmore (1996),"Black Sheep (1996);Billy Madison (1995);Cable Guy, The (1996);Tommy Boy (1995);Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);Bio-Dome (1996);High School High (1996);Sgt. Bilko (1996);Grumpier Old Men (1995);Waterboy, The (1998)"
"Bridges of Madison County, The (1995)","Nell (1994);When a Man Loves a Woman (1994);How to Make an American Quilt (1995);Walk in the Clouds, A (1995);Little Women (1994);Love Affair (1994);Losing Isaiah (1995);Circle of Friends (1995);Legends of the Fall (1994);Forget Paris (1995)"
Nobody Loves Me (Keiner liebt mich) (1994),"When the Cat's Away (Chacun cherche son chat) (1996);Cold Fever (Á köldum klaka) (1995);Dear Diary (Caro Diario) (1994);My Son the Fanatic (1997);Slingshot, The (Kådisbellan) (1993);Mina Tannenbaum (1994);Mifune's Last Song (Mifunes sidste sang) (1999);Promise, The (La promesse) (1996);Flirt (1995);Thieves (Voleurs, Les) (1996)"
Muppet Treasure Island (1996),"Matilda (1996);101 Dalmatians (1996);Oliver & Company (1988);Adventures of Pinocchio, The (1996);Harriet the Spy (1996);James and the Giant Peach (1996);Hunchback of Notre Dame, The (1996);Space Jam (1996);Homeward Bound II: Lost in San Francisco (1996);Muppet Christmas Carol, The (1992)"
Catwalk (1996),"1-900 (06) (1994);Original Gangstas (1996);Phat Beach (1996);Convent, The (O Convento) (1995);Talking About Sex (1994);Faithful (1996);August (1996);Dingo (1991);Sunset Park (1996);Live Nude Girls (1995)"
Braveheart (1995),"Rob Roy (1995);Legends of the Fall (1994);First Knight (1995);Dances with Wolves (1990);Fugitive, The (1993);Crimson Tide (1995);Seven (a.k.a. Se7en) (1995);Waterworld (1995);Gladiator (2000);Forrest Gump (1994)"
Taxi Driver (1976),"Raging Bull (1980);Clockwork Orange, A (1971);Apocalypse Now (1979);Dog Day Afternoon (1975);Chinatown (1974);Deer Hunter, The (1978);Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964);Midnight Cowboy (1969);Graduate, The (1967);Goodfellas (1990)"
Rumble in the Bronx (Hont faan kui) (1995),"Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992);First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996);Supercop 2 (Project S) (Chao ji ji hua) (1993);Phantom, The (1996);Barb Wire (1996);Broken Arrow (1996);Sudden Death (1995);Eraser (1996);Desperado (1995);Quest, The (1996)"
Before and After (1996),"Last Dance (1996);Chamber, The (1996);Unforgettable (1996);Diabolique (1996);Mary Reilly (1996);Pallbearer, The (1996);Faithful (1996);Eye for an Eye (1996);Two if by Sea (1996);Preacher's Wife, The (1996)"
Margaret's Museum (1995),"Some Mother's Son (1996);Winter Guest, The (1997);Artemisia (1997);M. Butterfly (1993);Passion Fish (1992);Wedding Gift, The (1994);Washington Square (1997);Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997);Man of No Importance, A (1994);Mrs. Dalloway (1997)"
Anne Frank Remembered (1995),"Once Upon a Time... When We Were Colored (1995);Cry, the Beloved Country (1995);Journey of August King, The (1995);Georgia (1995);Wooden Man's Bride, The (Yan shen) (1994);Story of Xinghua, The (Xinghua san yue tian) (1994);Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991);Midnight Dancers (Sibak) (1994);Star Maker, The (Uomo delle stelle, L') (1995);Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)"
"Young Poisoner's Handbook, The (1995)","I Shot Andy Warhol (1996);Basquiat (1996);Trees Lounge (1996);Funeral, The (1996);Kansas City (1996);Palookaville (1996);Last Supper, The (1995);Freeway (1996);Cement Garden, The (1993);Blue in the Face (1995)"
If Lucy Fell (1996),"She's the One (1996);Pallbearer, The (1996);Jack and Sarah (1995);Evening Star, The (1996);To Gillian on Her 37th Birthday (1996);Boys (1996);Feeling Minnesota (1996);Faithful (1996);Beautiful Girls (1996);Big Squeeze, The (1996)"
"Steal Big, Steal Little (1995)","Scout, The (1994);Roommates (1995);I'll Do Anything (1994);Tie That Binds, The (1995);Trial by Jury (1994);Babysitter, The (1995);I Love Trouble (1994);Made in America (1993);Bad Girls (1994);Houseguest (1994)"
Race the Sun (1996),"Rent-a-Kid (1995);It Takes Two (1995);Man of the House (1995);Bushwhacked (1995);Big Green, The (1995);Dunston Checks In (1996);Cops and Robbersons (1994);Baby-Sitters Club, The (1995);Jury Duty (1995);Richie Rich (1994)"
"Boys of St. Vincent, The (1992)","My Favorite Season (1993);Passion Fish (1992);Browning Version, The (1994);King of the Hill (1993);Ladybird Ladybird (1994);Wild Reeds (Les roseaux sauvages) (1994);Some Mother's Son (1996);Hollow Reed (1996);Vanya on 42nd Street (1994);Germinal (1993)"
Boomerang (1992),Exit to Eden (1994);Son in Law (1993);Another Stakeout (1993);Clean Slate (1994);Houseguest (1994);Poetic Justice (1993);Jury Duty (1995);House Party 3 (1994);Made in America (1993);Major Payne (1995)
Chungking Express (Chung Hing sam lam) (1994),"In the Mood For Love (Fa yeung nin wa) (2000);Cyclo (Xich lo) (1995);Fireworks (Hana-bi) (1997);Ashes of Time (Dung che sai duk) (1994);Happy Together (a.k.a. Buenos Aires Affair) (Chun gwong cha sit) (1997);Taste of Cherry (Ta'm e guilass) (1997);Fallen Angels (Duo luo tian shi) (1995);Double Life of Veronique, The (Double Vie de Véronique, La) (1991);After Life (Wandafuru raifu) (1998);Lovers on the Bridge, The (Amants du Pont-Neuf, Les) (1991)"
"Star Maker, The (Uomo delle stelle, L') (1995)","Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991);Wooden Man's Bride, The (Yan shen) (1994);Carried Away (1996);French Twist (Gazon maudit) (1995);Stealing Beauty (1996);Georgia (1995);Story of Xinghua, The (Xinghua san yue tian) (1994);Antonia's Line (Antonia) (1995);Once Upon a Time... When We Were Colored (1995);Angels and Insects (1995)"
Flirting With Disaster (1996),Living in Oblivion (1995);Kicking and Screaming (1995);Spanking the Monkey (1994);Bob Roberts (1992);Citizen Ruth (1996);Metropolitan (1990);Barcelona (1994);Swimming with Sharks (1995);To Die For (1995);What Happened Was... (1994)
"NeverEnding Story III, The (1994)","Tom and Huck (1995);Kid in King Arthur's Court, A (1995);Lassie (1994);Free Willy (1993);Richie Rich (1994);Dunston Checks In (1996);Next Karate Kid, The (1994);Free Willy 2: The Adventure Home (1995);Amazing Panda Adventure, The (1995);Operation Dumbo Drop (1995)"
Pie in the Sky (1996),"Infinity (1996);Unhook the Stars (1996);Two Bits (1995);Big Squeeze, The (1996);Boys (1996);Jack and Sarah (1995);Feeling Minnesota (1996);If Lucy Fell (1996);Carried Away (1996);Captives (1994)"
Frankie Starlight (1995),"Month by the Lake, A (1995);Browning Version, The (1994);Mrs. Parker and the Vicious Circle (1994);Double Happiness (1994);Unstrung Heroes (1995);Picture Bride (Bijo photo) (1994);Tom & Viv (1994);Angels and Insects (1995);My Crazy Life (Mi vida loca) (1993);Manny & Lo (1996)"
Jade (1995),"Just Cause (1995);Hideaway (1995);Trial by Jury (1994);Babysitter, The (1995);Assassins (1995);Fair Game (1995);Tie That Binds, The (1995);Bad Girls (1994);Sliver (1993);Virtuosity (1995)"
Down Periscope (1996),Sgt. Bilko (1996);Striptease (1996);Spy Hard (1996);Multiplicity (1996);Lawnmower Man 2: Beyond Cyberspace (1996);Bio-Dome (1996);Grumpier Old Men (1995);Ed (1996);Celtic Pride (1996);Kazaam (1996)
From the Journals of Jean Seberg (1995),"Judgement in Stone, A (Cérémonie, La) (1995);Gabbeh (1996);Late August, Early September (Fin août, début septembre) (1998);Promise, The (La promesse) (1996);Nico Icon (1995);Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993);Safe (1995);White Balloon, The (Badkonake sefid) (1995);Thieves (Voleurs, Les) (1996);Thirty-Two Short Films About Glenn Gould (1993)"
Man of the Year (1995),"It's My Party (1996);Substance of Fire, The (1996);Grass Harp, The (1995);Midnight Dancers (Sibak) (1994);Female Perversions (1996);Neon Bible, The (1995);Secret Agent, The (1996);Once Upon a Time... When We Were Colored (1995);Celluloid Closet, The (1995);Infinity (1996)"
"Neon Bible, The (1995)","Substance of Fire, The (1996);Female Perversions (1996);Unforgettable Summer, An (Un été inoubliable) (1994);My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993);Funeral, The (1996);Wooden Man's Bride, The (Yan shen) (1994);Infinity (1996);Jude (1996);Caught (1996);Two Bits (1995)"
Up Close and Personal (1996),"Bed of Roses (1996);Two if by Sea (1996);Eye for an Eye (1996);Sabrina (1995);Juror, The (1996);Preacher's Wife, The (1996);Phenomenon (1996);Father of the Bride Part II (1995);River Wild, The (1994);Before and After (1996)"
"Birdcage, The (1996)","Truth About Cats & Dogs, The (1996);First Wives Club, The (1996);Mr. Holland's Opus (1995);To Wong Foo, Thanks for Everything! Julie Newmar (1995);Phenomenon (1996);Father of the Bride Part II (1995);Mr. Wrong (1996);Grumpier Old Men (1995);Jeffrey (1995);Mary Reilly (1996)"
"Brothers McMullen, The (1995)",Unstrung Heroes (1995);Barcelona (1994);Nobody's Fool (1994);Sirens (1994);Miami Rhapsody (1995);Six Degrees of Separation (1993);My Family (1995);Widows' Peak (1994);Nina Takes a Lover (1994);Home for the Holidays (1995)
Bad Boys (1995),"Assassins (1995);Mortal Kombat (1995);Money Train (1995);Desperado (1995);Hackers (1995);Demolition Man (1993);Hard Target (1993);Striking Distance (1993);Drop Zone (1994);Hunted, The (1995)"
"Amazing Panda Adventure, The (1995)","Tom and Huck (1995);Far From Home: The Adventures of Yellow Dog (1995);Kid in King Arthur's Court, A (1995);Lassie (1994);Free Willy 2: The Adventure Home (1995);Big Green, The (1995);Gordy (1995);Gold Diggers: The Secret of Bear Mountain (1995);Operation Dumbo Drop (1995);Free Willy (1993)"
"Basketball Diaries, The (1995)","Kids (1995);Kalifornia (1993);Endless Summer 2, The (1994);Higher Learning (1995);Reality Bites (1994);Total Eclipse (1995);Clockers (1995);My Crazy Life (Mi vida loca) (1993);S.F.W. (1994);Panther (1995)"
"Awfully Big Adventure, An (1995)","Carrington (1995);Tom & Viv (1994);Mrs. Parker and the Vicious Circle (1994);Queen Margot (Reine Margot, La) (1994);Farinelli: il castrato (1994);Death and the Maiden (1994);Ladybird Ladybird (1994);Priest (1994);Strawberry and Chocolate (Fresa y chocolate) (1993);Angels and Insects (1995)"
Amateur (1994),Naked (1993);Exotica (1994);Love & Human Remains (1993);Little Odessa (1994);What Happened Was... (1994);Suture (1993);Short Cuts (1993);Flirt (1995);Living in Oblivion (1995);Bitter Moon (1992)
Apollo 13 (1995),"Crimson Tide (1995);Outbreak (1995);Clear and Present Danger (1994);Quiz Show (1994);Fugitive, The (1993);Net, The (1995);While You Were Sleeping (1995);Disclosure (1994);Forrest Gump (1994);True Lies (1994)"
Rob Roy (1995),"Legends of the Fall (1994);Nell (1994);Immortal Beloved (1994);First Knight (1995);Bridges of Madison County, The (1995);Tombstone (1993);Englishman Who Went Up a Hill But Came Down a Mountain, The (1995);Dolores Claiborne (1995);Wyatt Earp (1994);Mary Shelley's Frankenstein (Frankenstein) (1994)"
"Addiction, The (1995)","Cronos (1993);Crash (1996);Nadja (1994);Doom Generation, The (1995);Secret Adventures of Tom Thumb, The (1993);Switchblade Sisters (1975);Suture (1993);Cemetery Man (Dellamorte Dellamore) (1994);Henry: Portrait of a Serial Killer (1986);Vampire's Kiss (1989)"
Batman Forever (1995),Batman (1989);Addams Family Values (1993);Waterworld (1995);Cliffhanger (1993);Beverly Hills Cop III (1994);Congo (1995);Judge Dredd (1995);Outbreak (1995);City Slickers II: The Legend of Curly's Gold (1994);Mortal Kombat (1995)
Beauty of the Day (Belle de jour) (1967),"In the Realm of the Senses (Ai no corrida) (1976);Double Life of Veronique, The (Double Vie de Véronique, La) (1991);Kaspar Hauser (1993);Naked (1993);Vanya on 42nd Street (1994);Nelly & Monsieur Arnaud (1995);World of Apu, The (Apur Sansar) (1959);Land and Freedom (Tierra y libertad) (1995);8 1/2 (8½) (1963);Lamerica (1994)"
Beyond Rangoon (1995),"My Family (1995);Jefferson in Paris (1995);Perez Family, The (1995);My Crazy Life (Mi vida loca) (1993);Little Buddha (1993);Tom & Viv (1994);Frankie Starlight (1995);Death and the Maiden (1994);Nina Takes a Lover (1994);Nobody's Fool (1994)"
Blue in the Face (1995),"Smoke (1995);I Shot Andy Warhol (1996);Young Poisoner's Handbook, The (1995);Georgia (1995);Amateur (1994);Denise Calls Up (1995);In the Bleak Midwinter (1995);Mighty Aphrodite (1995);Kansas City (1996);Love & Human Remains (1993)"
Canadian Bacon (1995),"Airheads (1994);Ref, The (1994);Cabin Boy (1994);North (1994);Angus (1995);Road to Wellville, The (1994);Clean Slate (1994);National Lampoon's Senior Trip (1995);Mixed Nuts (1994);In the Army Now (1994)"
Casper (1995),"Free Willy 2: The Adventure Home (1995);Flintstones, The (1994);Mighty Morphin Power Rangers: The Movie (1995);Santa Clause, The (1994);Big Green, The (1995);Man of the House (1995);Junior (1994);Kid in King Arthur's Court, A (1995);Richie Rich (1994);Next Karate Kid, The (1994)"
Clockers (1995),Little Odessa (1994);Death and the Maiden (1994);Romeo Is Bleeding (1993);Crooklyn (1994);Kalifornia (1993);Killer (Bulletproof Heart) (1994);Kiss of Death (1995);Fearless (1993);Mute Witness (1994);Swimming with Sharks (1995)
Congo (1995),"Specialist, The (1994);Drop Zone (1994);Beverly Hills Cop III (1994);Under Siege 2: Dark Territory (1995);Judge Dredd (1995);Species (1995);City Slickers II: The Legend of Curly's Gold (1994);Virtuosity (1995);Waterworld (1995);Net, The (1995)"
Crimson Tide (1995),"Outbreak (1995);Clear and Present Danger (1994);Disclosure (1994);Firm, The (1993);Cliffhanger (1993);Net, The (1995);Just Cause (1995);Murder in the First (1995);Apollo 13 (1995);Client, The (1994)"
Crumb (1994),"Living in Oblivion (1995);Short Cuts (1993);Heavenly Creatures (1994);Fast, Cheap & Out of Control (1997);Naked (1993);Thin Blue Line, The (1988);Vanya on 42nd Street (1994);Hoop Dreams (1994);Thirty-Two Short Films About Glenn Gould (1993);Trust (1990)"
Desperado (1995),"Crow, The (1994);Bad Boys (1995);From Dusk Till Dawn (1996);Quick and the Dead, The (1995);Mortal Kombat (1995);Hunted, The (1995);True Romance (1993);Hard Target (1993);Assassins (1995);Strange Days (1995)"
Devil in a Blue Dress (1995),"Red Rock West (1992);Fearless (1993);Killer (Bulletproof Heart) (1994);Beyond Rangoon (1995);Romeo Is Bleeding (1993);Death and the Maiden (1994);Underneath (1995);Grifters, The (1990);Nobody's Fool (1994);Mute Witness (1994)"
Die Hard: With a Vengeance (1995),"Cliffhanger (1993);Outbreak (1995);Under Siege 2: Dark Territory (1995);Beverly Hills Cop III (1994);Waterworld (1995);Die Hard 2 (1990);True Lies (1994);Specialist, The (1994);Net, The (1995);Batman Forever (1995)"
"Doom Generation, The (1995)","Nowhere (1997);Addiction, The (1995);Crash (1996);Nadja (1994);SubUrbia (1997);Flirt (1995);Love and a .45 (1994);Cement Garden, The (1993);Freeway (1996);Dream With the Fishes (1997)"
First Knight (1995),"Dangerous Minds (1995);Milk Money (1994);Junior (1994);City Slickers II: The Legend of Curly's Gold (1994);Cutthroat Island (1995);Nine Months (1995);Drop Zone (1994);Three Musketeers, The (1993);Congo (1995);Walk in the Clouds, A (1995)"
Free Willy 2: The Adventure Home (1995),"Gordy (1995);Man of the House (1995);Big Green, The (1995);Amazing Panda Adventure, The (1995);Far From Home: The Adventures of Yellow Dog (1995);Operation Dumbo Drop (1995);Casper (1995);Free Willy (1993);Kid in King Arthur's Court, A (1995);Tom and Huck (1995)"
Hackers (1995),"Johnny Mnemonic (1995);Virtuosity (1995);Hunted, The (1995);Mortal Kombat (1995);Money Train (1995);Assassins (1995);Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994);Species (1995);Drop Zone (1994);Fair Game (1995)"
Jeffrey (1995),"Sum of Us, The (1994);Adventures of Priscilla, Queen of the Desert, The (1994);Go Fish (1994);Love & Human Remains (1993);Home for the Holidays (1995);Stonewall (1995);Priest (1994);Serial Mom (1994);Six Degrees of Separation (1993);It's My Party (1996)"
Johnny Mnemonic (1995),"Judge Dredd (1995);Species (1995);Virtuosity (1995);Demolition Man (1993);Hackers (1995);Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994);Mortal Kombat (1995);Congo (1995);Specialist, The (1994);Drop Zone (1994)"
Judge Dredd (1995),Demolition Man (1993);Species (1995);Johnny Mnemonic (1995);Mortal Kombat (1995);Congo (1995);Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994);Virtuosity (1995);Beverly Hills Cop III (1994);Drop Zone (1994);Under Siege 2: Dark Territory (1995)
Jury Duty (1995),"Cops and Robbersons (1994);Major Payne (1995);Bushwhacked (1995);Houseguest (1994);House Party 3 (1994);Exit to Eden (1994);Getting Even with Dad (1994);Vampire in Brooklyn (1995);National Lampoon's Senior Trip (1995);Beverly Hillbillies, The (1993)"
Kids (1995),"Basketball Diaries, The (1995);Clockers (1995);Kalifornia (1993);Killing Zoe (1994);Basquiat (1996);Menace II Society (1993);My Crazy Life (Mi vida loca) (1993);Exotica (1994);Doom Generation, The (1995);Little Odessa (1994)"
Living in Oblivion (1995),Flirting With Disaster (1996);What Happened Was... (1994);Trust (1990);Spanking the Monkey (1994);Kicking and Screaming (1995);Amateur (1994);Flirt (1995);Bob Roberts (1992);Barcelona (1994);Short Cuts (1993)
Lord of Illusions (1995),"Tales from the Crypt Presents: Demon Knight (1995);Prophecy, The (1995);Candyman: Farewell to the Flesh (1995);Village of the Damned (1995);Tales from the Hood (1995);Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994);Hellraiser: Bloodline (1996);Body Snatchers (1993);Castle Freak (1995);Wolf (1994)"
